team,diff,points,half
Man City,33,34,top
Man Utd,21,26,top
Chelsea,13,25,top
Tottenham,11,23,top
Liverpool,7,22,top
Arsenal,6,22,top
Burnley,3,22,top
Watford,-2,18,top
Brighton,0,16,top
Huddersfield,-9,15,top
Newcastle,-3,14,bottom
Leicester,-2,13,bottom
Bournemouth,-3,13,bottom
Southampton,-5,13,bottom
Stoke,-9,13,bottom
Everton,-12,12,bottom
West Brom,-9,10,bottom
West Ham,-14,9,bottom
Swansea,-8,8,bottom
Crystal Palace,-18,5,bottom
